bhid,from,to,seam_thickness,seam_name
527,297.14,297.54,0.4,B2,
527,303.15,306.75,3.6,H2,
527,324.9,328.95,4.05,H3,
527,331.9,332.9,1,H4T,
527,334.2,342.8,8.6,TS,
527,348.05,351.95,3.9,IND1,
531,325.67,327.12,1.45,H1,
531,334.73,334.97,0.24,B1,
531,352.86,361.3,8.44,H2,
531,373.35,376.24,2.89,H3,
531,377.25,378.7,1.45,H4T,
531,380.78,382.13,1.35,H4B,
531,382.55,397.95,15.4,TS,
531,407.7,408.35,0.65,IND1,
535,185,192.2,7.2,I,
535,311.02,312.72,1.7,H1,
535,319.27,319.37,0.1,B1,
535,325.12,325.64,0.52,B2,
535,338.4,343.8,5.4,H2,
535,354.4,359.5,5.1,H3,
535,378.87,380.62,1.75,H4T,
535,362.91,364.94,2.03,H4B,
535,365.74,403.47,37.73,TS,
535,415.22,417.32,2.1,IND1,
536,269.2,275.4,6.2,I,
536,379.4,381.4,2,H1,
536,403.15,403.55,0.4,B2,
536,408.84,413.24,4.4,H2,
536,416.27,417.86,1.59,B3,
536,425.02,429.96,4.94,H3,
536,431.7,433.11,1.41,H4T,
536,435.08,436.47,1.39,H4B,
536,437.41,452.96,15.55,TS,
562,326.81,339.61,12.8,I,
562,446.02,448.26,2.24,H1,
562,455.92,456.3,0.38,B1,
562,468.16,468.96,0.8,B2,
562,477.96,480.36,2.4,H2,
562,492.77,497.93,5.16,H3,
562,499.71,500.26,0.55,H4T,
562,502.56,502.87,0.31,H4B,
562,503.72,520.36,16.64,TS,
562,528.23,530.61,2.38,IND1,
563,232.4,245.8,13.4,I,
563,365.4,367.15,1.75,H1,
563,374.09,374.34,0.25,B1,
563,382.06,383.11,1.05,B2,
563,399.2,406.03,6.83,H2,
563,418.78,424.6,5.82,H3,
563,429.24,430.27,1.03,H4T,
563,432.4,433.87,1.47,H4B,
563,434.68,453.1,18.42,TS,
563,464.5,466.43,1.93,IND1,
570,321.73,324.21,2.48,H1,
570,347.85,348.95,1.1,H2,
570,359.67,365.95,6.28,H3,
570,367.82,369.06,1.24,H4T,
611,311.12,323.08,11.96,I,
611,426.73,428.16,1.43,H1,
611,448.7,449.03,0.33,B2,
611,455.24,458.55,3.31,H2,
611,461.61,462.47,0.86,B3,
611,471.59,473.66,2.07,H3,
